1 1 56
1 11 55.2
1 21 44.8
1 31 43.6
1 41 36.8
1 51 36.2
1 61 36.2
1 71 36.2
1 81 36.2
1 91 36.24
1 101 44.48
1 111 39.84
1 121 42.4
1 131 36
1 141 42.4
1 151 49.6
1 161 66.4
1 171 78
1 181 78.8
1 191 61.6
1 201 78
1 211 88
1 221 78.4
1 231 75.48
1 241 70
11 1 48
11 11 51.8
11 21 49.2
11 31 43.68
11 41 47.16
11 51 48
11 61 50.4
11 71 48.8
11 81 42.4
11 91 40
11 101 38.4
11 111 48
11 121 40
11 131 37.6
11 141 59.6
11 151 69.08
11 161 69.6
11 171 79.2
11 181 87.6
11 191 70.4
11 201 88.8
11 211 82.4
11 221 79.6
11 231 76.4
11 241 68.28
21 1 63.2
21 11 58.64
21 21 54.4
21 31 52
21 41 52.8
21 51 52
21 61 47.6
21 71 37.56
21 81 37.56
21 91 40.32
21 101 55.76
21 111 63.72
21 121 40.96
21 131 43.2
21 141 70.8
21 151 75.2
21 161 73.6
21 171 75.6
21 181 78.92
21 191 83.92
21 201 87.2
21 211 83.2
21 221 76
21 231 69.6
21 241 62.4
31 1 64
31 11 52
31 21 50.76
31 31 54.04
31 41 54.8
31 51 52
31 61 39.2
31 71 50
31 81 56
31 91 59.2
31 101 72
31 111 73.6
31 121 44.8
31 131 40.4
31 141 69.08
31 151 79.2
31 161 83.2
31 171 85.36
31 181 82.4
31 191 83.2
31 201 96.8
31 211 88.8
31 221 79.2
31 231 76
31 241 64
41 1 58.6
41 11 55.2
41 21 51.12
41 31 54.4
41 41 44.8
41 51 55.2
41 61 46.6
41 71 60
41 81 56
41 91 72.8
41 101 84.8
41 111 70.4
41 121 47.2
41 131 39.2
41 141 63
41 151 62
41 161 62.8
41 171 68.8
41 181 76
41 191 85.32
41 201 81.2
41 211 76.04
41 221 76.8
41 231 68.8
41 241 52.8
51 1 52
51 11 50.76
51 21 51.4
51 31 50.04
51 41 58.4
51 51 52.88
51 61 56
51 71 61.92
51 81 64.68
51 91 71.2
51 101 72.8
51 111 59.6
51 121 48.16
51 131 42.4
51 141 53.28
51 151 65.2
51 161 75.2
51 171 74.32
51 181 75.6
51 191 88.56
51 201 82.4
51 211 77.6
51 221 64.8
51 231 58.4
51 241 46.4
61 1 54.64
61 11 50.76
61 21 56.8
61 31 56
61 41 62.4
61 51 45.4
61 61 54.8
61 71 59.2
61 81 72.6
61 91 80
61 101 70.4
61 111 78.4
61 121 55.2
61 131 42.8
61 141 58.4
61 151 59.2
61 161 78.4
61 171 87.8
61 181 79.2
61 191 73.6
61 201 69.6
61 211 62.4
61 221 55.2
61 231 51.2
61 241 45.6
71 1 52.24
71 11 52.8
71 21 56.8
71 31 57.6
71 41 57.2
71 51 44.8
71 61 56
71 71 60.8
71 81 70.08
71 91 81.6
71 101 75.6
71 111 60.8
71 121 53.6
71 131 44
71 141 61.6
71 151 59.56
71 161 70.4
71 171 86.8
71 181 81.6
71 191 77.6
71 201 68
71 211 67.2
71 221 82.92
71 231 70.8
71 241 47.12
81 1 51.92
81 11 51.48
81 21 57.6
81 31 60.8
81 41 60
81 51 48.8
81 61 58.4
81 71 65.6
81 81 71.2
81 91 74.4
81 101 69.6
81 111 79.2
81 121 60.8
81 131 49.32
81 141 47.2
81 151 68.8
81 161 68.4
81 171 71.4
81 181 81.6
81 191 81.96
81 201 78.4
81 211 84.8
81 221 73.6
81 231 63.76
81 241 50.24
91 1 56.8
91 11 56.8
91 21 61.6
91 31 63.2
91 41 62
91 51 49.6
91 61 57.6
91 71 61.6
91 81 62.4
91 91 71.2
91 101 72.4
91 111 68
91 121 58.04
91 131 58.4
91 141 50.48
91 151 58.4
91 161 81.6
91 171 73.6
91 181 74.8
91 191 76.8
91 201 77.6
91 211 71.2
91 221 71.2
91 231 60.04
91 241 49.56
